Site Name,Easement Holder Name,State,Access,Easement Purpose,Easement Holder Type,Year Established
BOS HAVEN,Dutchess County,NY,UK,FARM,LOC,2011
FISHKILL FARMS,Dutchess County,NY,UK,FARM,LOC,2011
STEINER FARM,Dutchess County,NY,UK,FARM,LOC,2005
Abel Tree Farm,Dutchess County,NY,UK,FARM,LOC,2007
MCINTOSH FARM,Dutchess County,NY,UK,FARM,LOC,2009
PLEASANT VIEW,Dutchess County,NY,UK,FARM,LOC,2008
NYC DEP-Public Access Area per Cooperative Agreement,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2010
NYC DEP-Public Access Area per Cooperative Agreement 2,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2011
Cattaraugus Creek,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2011
NYC DEP-Public Access Area per Cooperative Agreement 3,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2010
Eagle Nest Tenants in Common Conservation Easement,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2012
Adam Hochschild Conservation Easement,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2012
NYC DEP-Public Access Area per Cooperative Agreement 4,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2010
New York City Watershed Conservation Easement,New York State Department of Environmental Conservation,NY,OA,ENV,STAT,2010
Hemlock Hill Farm,Westchester County,NY,XA,FARM,LOC,2011
Grace Note Farm,Burrillville Land Trust,RI,XA,ENV,NGO,2007
WVLT-004,West Virginia Land Trust,WV,XA,ENV,NGO,2004
WVLT-004,West Virginia Land Trust,WV,XA,ENV,NGO,2004
WVLT-003,West Virginia Land Trust,WV,OA,ENV,NGO,2001
WVLT-006,West Virginia Land Trust,WV,XA,ENV,NGO,2007
WVLT-009,West Virginia Land Trust,WV,XA,ENV,NGO,2011
WVLT-002,West Virginia Land Trust,WV,XA,FARM,NGO,1998
WVLT-001,West Virginia Land Trust,WV,XA,ENV,NGO,1997
WVLT-001,West Virginia Land Trust,WV,XA,ENV,NGO,1997
WVLT-007,West Virginia Land Trust,WV,XA,FARM,NGO,2007
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-010,West Virginia Land Trust,WV,XA,FARM,NGO,2012
WVLT-008,West Virginia Land Trust,WV,XA,FARM,NGO,2007
Nine Mile Run,Virginia Department of Conservation and Recreation,VA,OA,HIST,STAT,2002
Batcha,Friends of Hopewell Valley Open Space,NJ,RA,FARM,NGO,1998
Bellando,Friends of Hopewell Valley Open Space,NJ,XA,HIST,NGO,2003
Davis,Friends of Hopewell Valley Open Space,NJ,XA,FARM,NGO,2000
Driver 1,Friends of Hopewell Valley Open Space,NJ,RA,FOR,NGO,2001
Nayfield 2,Friends of Hopewell Valley Open Space,NJ,RA,FOR,NGO,2006
Preston,Friends of Hopewell Valley Open Space,NJ,RA,FARM,NGO,1998
Ridolfi,Friends of Hopewell Valley Open Space,NJ,XA,FARM,NGO,2001
Schoenholz,Friends of Hopewell Valley Open Space,NJ,RA,FARM,NGO,2003
Saladino,Friends of Hopewell Valley Open Space,NJ,XA,FOR,NGO,2010
Wilson,Friends of Hopewell Valley Open Space,NJ,XA,FARM,NGO,2007
Byers,Friends of Hopewell Valley Open Space,NJ,XA,FARM,NGO,2007
Logan,Friends of Hopewell Valley Open Space,NJ,RA,REC,NGO,2010
Grandview CE,New River Conservancy,WV,XA,OTH,NGO,2009
Sizemore Ce Addition,New River Conservancy,VA,XA,OTH,NGO,2011
Dumc CE 1,New River Conservancy,NC,XA,ENV,NGO,2008
Dumc CE 2,New River Conservancy,NC,XA,ENV,NGO,2008
Melton CE,New River Conservancy,NC,XA,OTH,NGO,1993
Macconnell CE,New River Conservancy,NC,XA,OTH,NGO,2010
5 P's in a Pod CE,New River Conservancy,NC,XA,OTH,NGO,2011
Gentry CE,New River Conservancy,NC,XA,FARM,NGO,2011
NJCF #338,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1994
NJCF #079,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #079,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #071,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #071,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #075,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #289,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1997
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #552,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #294,New Jersey Conservation Foundation,NJ,OA,FARM,NGO,2002
NJCF #059,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1988
NJCF #289 / 499,New Jersey Conservation Foundation,NJ,XA,OTH,NGO,1997
NJCF #289 / 499,New Jersey Conservation Foundation,NJ,XA,OTH,NGO,1997
NJCF #564,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2007
NJCF #564,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2007
NJCF #599,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #090,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1987
NJCF #054,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #052 / 671,New Jersey Conservation Foundation,NJ,RA,ENV,NGO,1982
NJCF #510,New Jersey Conservation Foundation,NJ,XA,HIST,NGO,1999
NJCF #510,New Jersey Conservation Foundation,NJ,XA,HIST,NGO,1999
NJCF #510,New Jersey Conservation Foundation,NJ,XA,HIST,NGO,1999
NJCF #651,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2009
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1981
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #060,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #060,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #086,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1989
NJCF #086,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1989
NJCF #051,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #076,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1988
NJCF #076,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1988
NJCF #086,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1989
NJCF #086,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1989
NJCF #116,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1989
NJCF #515,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #085,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1983
NJCF #072,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #072,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #072,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #072,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #072,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #639,New Jersey Department of Environmental Protection,NJ,UK,OTH,STAT,2002
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #069,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #069,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #730,New Jersey Conservation Foundation,NJ,OA,REC,NGO,2010
NJCF #730,New Jersey Conservation Foundation,NJ,OA,REC,NGO,2010
NJCF #730,New Jersey Conservation Foundation,NJ,OA,REC,NGO,2010
NJCF #746,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2011
NJCF #746,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2011
NJCF #078,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #564,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2007
NJCF #564,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2007
NJCF #639,New Jersey Department of Environmental Protection,NJ,UK,OTH,STAT,2002
NJCF #489,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #489,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #600,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #081,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1987
NJCF #081,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1987
NJCF #081,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1987
NJCF #720,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2009
NJCF #283,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1993
NJCF #776,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2012
NJCF #777,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2012
NJCF #777,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2012
NJCF #755,New Jersey Conservation Foundation,NJ,OA,FARM,NGO,2012
NJCF #456,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1998
NJCF #456,New Jersey Conservation Foundation,NJ,OA,REC,NGO,1998
NJCF #456,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1998
NJCF #197,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1991
NJCF #456,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1998
NJCF #569,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #640,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2002
NJCF #569/640,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #569/640,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #022,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1988
NJCF #556,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,2000
NJCF #556,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2000
NJCF #756,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2013
NJCF #756,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2013
NJCF #756,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2013
A Meyer,Northern Rivers Land Trust,VT,UK,FARM,NGO,2007
Cillo,Northern Rivers Land Trust,VT,UK,FARM,NGO,2008
Dexter,Northern Rivers Land Trust,VT,RA,FOR,NGO,2010
Gahagan,Northern Rivers Land Trust,VT,RA,FOR,NGO,2011
Heartbeet,Northern Rivers Land Trust,VT,UK,FOR,NGO,2011
Lammi,Northern Rivers Land Trust,VT,UK,OTH,NGO,2012
Keeler Pond,Northern Rivers Land Trust,VT,UK,ENV,NGO,2012
WRLC 442,Western Reserve Land Conservancy,PA,XA,FARM,NGO,2011
WRLC 443,Western Reserve Land Conservancy,PA,XA,FARM,NGO,2011
NJCF #050,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1978
NJCF #372,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #372,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #065 / 056,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1978
NJCF #066,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #078,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1985
NJCF #446,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #446,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2000
NJCF #552,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #552,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #552,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #057,New Jersey Conservation Foundation,NJ,OA,OTH,NGO,1975
NJCF #654,New Jersey Conservation Foundation,NJ,OA,REC,NGO,2009
NJCF #9999,Township of Moorestown,NJ,UK,OTH,LOC,1984
NJCF #069,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1980
NJCF #489,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #489,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #326,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
"Morgan County, WV 5",Morgan County Farmland Protection Board,WV,XA,FARM,LOC,2009
"Morgan County, WV 8",Morgan County Farmland Protection Board,WV,XA,FARM,LOC,2005
"Morgan County, WV 10",Morgan County Farmland Protection Board,WV,XA,FARM,LOC,2010
"Pocahontas County, WV 1",Pocahontas County Farmland Protection Board,WV,XA,FARM,LOC,2008
"Pocahontas County, WV 2",Pocahontas County Farmland Protection Board,WV,XA,FARM,LOC,2010
"Pocahontas County, WV 3",Pocahontas County Farmland Protection Board,WV,XA,FARM,LOC,2008
FCVC Easement 10a,French Creek Valley Conservancy,PA,XA,ENV,NGO,2001
FCVC Easement 6,French Creek Valley Conservancy,PA,XA,ENV,NGO,2001
FCVC Easement 5,French Creek Valley Conservancy,PA,XA,ENV,NGO,2004
FCVC Easement 19,French Creek Valley Conservancy,PA,XA,ENV,JNT,2007
Hunterdon Farmland_1022-000560000-000050000-00000,Hunterdon County,NJ,UK,FARM,LOC,2009
Hunterdon Farmland_1007-000390000-000010000-00000,Hunterdon County,NJ,UK,FARM,LOC,2009
Hunterdon Farmland_1008-000170000-000160003-00000,Hunterdon County,NJ,UK,FARM,LOC,2009
Hunterdon Farmland_1024-000500000-000010001-00000,Unknown Easement Holder,NJ,UK,FARM,UNK,2009
Hunterdon Farmland_1024-000500000-000010000-00000,Unknown Easement Holder,NJ,UK,FARM,UNK,2009
Hunterdon Farmland_1008-000210000-000160000-00000,Hunterdon County,NJ,UK,FARM,LOC,2009
TCF Farm #2 LLC,Eastern Shore Land Conservancy,MD,UK,UNK,NGO,2008
Chester County Agricultural Easement22-10-2,Chester County Agricultural Land Preservation Board,PA,XA,FARM,LOC,1993
Chester County Agricultural Easement36-7-7,Chester County Agricultural Land Preservation Board,PA,XA,FARM,LOC,2008
Sumter Landing,Central Savannah River Land Trust,GA,RA,ENV,NGO,2008
Harris Farm,Central Virginia Battlefields Trust,VA,OA,HIST,NGO,2004
Holden,Friends of Hopewell Valley Open Space,NJ,XA,FARM,NGO,1990
NJCF #559 / 691,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2004
NJCF #509,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2003
NJCF #338,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,1994
NJCF #073,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #560,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #560,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #299,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2002
NJCF #299,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2002
NJCF #573,New Jersey Conservation Foundation,NJ,OA,REC,NGO,1999
NJCF #562 / 564,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1999
NJCF #079,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #079,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #075,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #067,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1986
NJCF #055,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #372,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1995
NJCF #057,New Jersey Conservation Foundation,NJ,OA,OTH,NGO,1972
NJCF #502,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1998
NJCF #509,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2003
NJCF #509,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2003
NJCF #602,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2001
NJCF #294,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2002
NJCF #437,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1999
NJCF #062,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1973
NJCF #062,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1973
NJCF #062,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1973
NJCF #083,New Jersey Conservation Foundation,NJ,OA,OTH,NGO,1987
NJCF #083,New Jersey Conservation Foundation,NJ,OA,OTH,NGO,1987
NJCF #436,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1996
NJCF #084,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1988
NJCF #084,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1988
NJCF #603,New Jersey Conservation Foundation,NJ,XA,OTH,NGO,2003
NJCF #291,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,2002
NJCF #023 / 642,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1986
NJCF #219 / 642,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1992
NJCF #199 / 642,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1991
NJCF #707,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,2007
NJCF #053,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,1977
NJCF #197,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1991
NJCF #274,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1994
NJCF #317,New Jersey Conservation Foundation,NJ,RA,ENV,NGO,1996
NJCF #317,New Jersey Conservation Foundation,NJ,RA,ENV,NGO,1996
NJCF #082,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1987
NJCF #214,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1991
NJCF #054,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1979
NJCF #330,New Jersey Conservation Foundation,NJ,OA,OTH,NGO,1994
NJCF #695,New Jersey Conservation Foundation,NJ,OA,ENV,NGO,2006
NJCF #671,New Jersey Conservation Foundation,NJ,RA,ENV,NGO,2008
NJCF #068,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1977
NJCF #068,New Jersey Conservation Foundation,NJ,XA,ENV,NGO,1977
NJCF #701,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2008
NJCF #689,New Jersey Conservation Foundation,NJ,XA,FARM,NGO,2009
