acres_easement,acres_owned,founded,homepage,membership,name,num_parcels,num_staff
3994,3994,Founded: 1991,http://www.rlht.org,Membership: 1300,Rangeley Lakes Heritage Trust,Number of Parcels: 13,Number of Staff: 4.00
545,545,Founded: 1990,http://www.sacovalleylandtrust.org/,Membership: 125,Saco Valley Land Trust,Number of Parcels: 4,Number of Staff: 0.00
1197,1197,Founded: 1977,http://www.scarboroughlandtrust.org,Membership: 400,Scarborough Land Trust,Number of Parcels: 6,Number of Staff: 3.00
933,933,Founded: 1927,http://www.somersetwoodstrustees.org,Membership: 11,Somerset Woods Trustees,Number of Parcels: 8,Number of Staff: 1.00
0,0,Founded: 2012,http://www.southernmaineconservation.org/,,Southern Maine Conservation Collaborative,,Number of Staff: 2.00
0,504,Founded: 1998,mailto:mainewetlands@mac.com,,Southern Maine Wetlands Conservancy,Number of Parcels: 2,Number of Staff: 1.00
302813,302813,Founded: 1956,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/maine/index.htm,"Membership: 11,000",The Nature Conservancy in Maine,Number of Parcels: 54,Number of Staff: 37.00
0,0,Founded: 1987,mailto:naturetrust@ntnb.org,,The Nature Trust of New Brunswick,,Number of Staff: 0.00
0,0,Founded: 1972,http://www.tpl.org/maine,Membership: 0,The Trust for Public Land,,Number of Staff: 0.00
512,512,Founded: 2000,http://www.3rlt.org,Membership: 135,Three Rivers Land Trust,Number of Parcels: 14,Number of Staff: 1.00
537,537,Founded: 2000,http://www.usvlt.org,Membership: 650,Upper Saco Valley Land Trust,Number of Parcels: 43,Number of Staff: 2.00
0,0,Founded: 1982,http://www.wellsreserve.org,Membership: 2500,Wells National Estuarine Research Reserve & Laudholm Trust,,Number of Staff: 20.00
2020,2020,Founded: 1987,http://www.wfltmaine.org,Membership: 250,Western Foothills Land Trust,Number of Parcels: 30,Number of Staff: 1.00
11,11,Founded: 1994,http://www.woodiewheaton.org/,Membership: 530,Woodie Wheaton Land Trust,Number of Parcels: 1,Number of Staff: 1.00
1440,1440,Founded: 1986,http://www.yorklandtrust.org,Membership: 750,"York Land Trust, Inc.",Number of Parcels: 29,Number of Staff: 4.00
